LEAID,grad_rate
1806600,90.0
1806660,95.0
1806840,94.0
1806870,95.0
1806900,87.0
1807140,97.0
1807230,95.0
1807260,96.0
1807290,92.0
1807320,93.0
1807350,97.0
1807410,93.0
1807440,95.0
1807560,94.0
1807620,92.0
1807650,97.0
1807680,95.0
1807770,92.0
1807860,85.0
1807900,95.0
1807920,92.0
1807950,95.0
1807980,95.0
1808010,95.0
1808100,95.0
1808220,95.0
1808250,97.0
1808310,95.0
1808340,92.0
1808760,96.0
1808820,95.0
1808850,95.0
1808900,92.0
1808910,93.0
1808970,92.0
1809000,99.0
1809060,91.0
1809120,92.0
1809150,94.0
1809180,95.0
1809370,94.0
1809420,95.0
1809480,92.0
1809510,97.0
1809630,92.0
1809690,88.0
1809750,95.0
1809810,92.0
1810020,87.0
1810080,93.0
1810140,95.0
1810290,80.0
1810350,95.0
1810360,93.0
1810440,95.0
1810450,95.0
1810590,92.0
1810650,97.0
1810680,95.0
1810710,96.0
1810860,95.0
1810870,92.0
1810920,95.0
1810950,92.0
1811100,88.0
1811190,96.0
1811250,92.0
1811340,96.0
1811370,95.0
1811400,92.0
1811460,98.0
1811580,92.0
1811610,92.0
1811700,95.0
1811970,92.0
1812090,84.0
1812120,95.0
1812150,95.0
1812180,85.0
1812240,95.0
1812360,82.0
1812390,90.0
1812420,94.0
1812450,92.0
1812720,89.0
1812810,80.0
1812870,95.0
1812880,94.0
1812900,82.0
1812990,95.0
1813080,96.0
1813110,95.0
1813230,82.0
1903150,95.0
1903360,92.0
1903540,98.0
1903690,96.0
1903930,95.0
1904200,95.0
1904830,87.0
1904860,94.0
1905070,95.0
1905130,92.0
1905790,79.0
1906270,92.0
1906330,95.0
1906510,97.0
1906540,84.0
1906660,92.0
1906810,92.0
1907080,95.0
1907590,95.0
1907620,92.0
1907710,80.0
1907860,92.0
1908220,87.0
1908310,92.0
1908520,95.0
1908580,82.0
1908730,95.0
1908910,87.0
1908970,81.0
1909480,89.0
1911340,87.0
1911820,85.0
1911850,87.0
1912510,95.0
1912690,92.0
1913200,92.0
1913500,95.0
1914370,92.0
1914580,92.0
1914640,97.0
1914700,91.0
1914730,92.0
1915210,82.0
1915450,96.0
1915630,87.0
1915840,95.0
1916530,95.0
1916680,92.0
1917220,93.0
1918510,92.0
1918690,95.0
1918720,88.0
1918780,89.0
1919890,92.0
1920130,84.0
1920250,95.0
1920610,93.0
1920910,95.0
1920940,95.0
1921240,97.0
1921870,87.0
1922110,91.0
1922470,95.0
1922530,95.0
1923110,98.0
1925320,92.0
1925590,95.0
1926400,86.0
1926580,95.0
1926730,95.0
1926820,95.0
1926910,92.0
1927000,92.0
1927390,67.0
1928680,94.0
1929310,92.0
1930240,87.0
1930480,84.0
1930510,99.0
1930540,92.0
1930630,92.0
1930900,95.0
1930930,93.0
1930990,95.0
1931350,98.0
1931680,95.0
1931860,95.0
2000003,92.0
2000015,82.0
2003180,87.0
2003200,94.0
2003300,95.0
2003360,85.0
2003450,82.0
2003540,82.0
2003630,87.0
2003720,87.0
2003780,85.0
2004050,87.0
2004200,92.0
2004590,95.0
2004890,87.0
2004980,82.0
2005460,90.0
2005490,98.0
2005580,91.0
2005730,92.0
2005790,82.0
2005940,91.0
2006090,92.0
2006180,87.0
2006390,81.0
2006420,94.0
2006540,92.0
2006660,83.0
2007020,88.0
2007050,91.0
2007590,87.0
2007620,84.0
2007650,87.0
2007740,82.0
2007890,86.0
2007950,74.0
2008340,96.0
2008400,82.0
2008430,88.0
2008730,82.0
2008970,92.0
2009140,93.0
2009180,83.0
2009390,87.0
2009840,95.0
2009960,85.0
2010140,94.0
2010500,92.0
2010680,92.0
2010710,90.0
2011080,95.0
2011250,92.0
2011370,88.0
2011490,93.0
2011640,90.0
2011850,56.0
2012000,97.0
2012180,94.0
2012210,95.0
2012260,82.0
2012300,87.0
2012360,76.0
2012420,82.0
2012510,90.0
2012840,95.0
2012990,74.0
2013050,87.0
2100030,95.0
2100070,92.0
2100081,89.0
2100120,95.0
2100150,92.0
2100270,92.0
2100300,91.0
2100330,92.0
2100360,95.0
2100390,95.0
2100510,94.0
2100540,89.0
2100570,90.0
2100620,94.0
2100630,99.0
2100690,92.0
2100720,93.0
2100750,89.0
2100810,92.0
2100840,95.0
2100870,97.0
2100900,97.0
2100990,92.0
2101020,99.0
2101050,95.0
2101150,91.0
2101200,98.0
2101230,83.0
2101260,95.0
2101320,96.0
2101350,82.0
2101440,95.0
2101470,94.0
2101620,92.0
2101650,95.0
2101740,92.0
2101760,92.0
2101860,87.0
2101920,95.0
2101950,97.0
2102010,90.0
2102040,96.0
2102130,92.0
2102160,87.0
2102220,92.0
2102250,89.0
2102280,92.0
2102300,93.0
2102340,92.0
2102400,95.0
2102460,95.0
2102490,91.0
2102540,96.0
2102580,95.0
2102640,95.0
2102710,88.0
2102760,95.0
2102860,89.0
2102940,87.0
2102990,82.0
2103030,94.0
2103060,95.0
2103090,94.0
2103120,95.0
2103150,88.0
2103180,95.0
2103210,87.0
2103240,95.0
2103330,95.0
2103360,95.0
2103390,95.0
2103480,93.0
2103540,91.0
2103720,94.0
2103750,92.0
2103780,95.0
2103810,95.0
2103840,92.0
2103870,94.0
2103900,95.0
2103960,93.0
2103990,95.0
2104020,92.0
2104050,93.0
2104110,97.0
2104140,87.0
2104200,95.0
2104250,91.0
2104290,92.0
2104380,95.0
2104410,94.0
2104500,95.0
2104530,96.0
2104560,92.0
2104590,84.0
2104650,81.0
2104740,95.0
2104770,93.0
2104800,96.0
2104890,92.0
