LEAID,total_enrollment,num_schools_reporting,mean_school_absent_rate,weighted_absent_rate
2931680,322.0,3,8.545731285457313,8.074534161490684
2931800,47.0,2,31.11111111111111,29.78723404255319
2932010,35.0,1,5.714285714285714,5.714285714285714
2932100,222.0,3,6.12873380914618,6.756756756756757
2932110,49.0,1,4.081632653061225,4.081632653061225
2932310,256.0,4,7.603896919241039,7.8125
3000005,823.0,7,6.800019833814185,6.1968408262454435
3000008,51.0,1,17.647058823529413,17.647058823529413
3002010,162.0,3,11.100570926657882,11.11111111111111
3002030,71.0,1,12.676056338028168,12.676056338028168
3002220,115.0,1,6.956521739130435,6.956521739130435
3002250,54.0,1,12.962962962962962,12.962962962962964
3003290,292.0,2,7.30593607305936,5.47945205479452
3003330,312.0,1,4.487179487179487,4.487179487179487
3003840,95.0,1,6.315789473684211,6.315789473684211
3003870,1348.0,16,12.836272030923853,11.795252225519288
3003900,1354.0,3,7.837662029407736,8.124076809453472
3004560,419.0,5,7.20921021625247,5.966587112171838
3004590,384.0,1,6.25,6.25
3005140,1090.0,5,10.847479976490062,9.81651376146789
3005190,510.0,1,12.156862745098039,12.156862745098039
3005280,713.0,6,9.9714681965517,9.67741935483871
3005310,583.0,1,2.9159519725557463,2.9159519725557463
3005850,36.0,1,19.444444444444446,19.444444444444446
3007110,387.0,3,7.610408138532379,7.751937984496124
3007140,182.0,1,10.989010989010989,10.989010989010989
3007930,148.0,1,1.3513513513513513,1.3513513513513513
3008340,79.0,1,5.063291139240507,5.063291139240507
3009030,32.0,1,15.625,15.625
3010920,209.0,2,9.765404183154324,9.090909090909092
3011100,114.0,1,3.508771929824561,3.508771929824561
3011520,89.0,2,8.438155136268344,8.98876404494382
3013040,1693.0,14,8.266236253255524,9.214412285883048
3013050,1111.0,2,6.303651505445227,6.750675067506751
3013340,197.0,1,2.5380710659898478,2.5380710659898478
3013360,39.0,1,30.76923076923077,30.76923076923077
3013660,124.0,3,26.563877811558154,28.225806451612904
3013830,753.0,2,3.1811543362781176,3.054448871181939
