LEAID,absent_rate,log_enrolled,grad_rate
600020,4.21792618629174,9.601976972147813,97.0
600022,13.623188405797102,8.146129510025405,72.0
600025,4.75181598062954,8.796036315200814,99.0
600027,15.988562857410708,9.968057323185429,87.0
600028,13.060704683741331,10.249485701810745,94.0
600029,11.068355743871331,10.0488425203955,97.0
600032,6.635879931733761,9.206432747145165,95.0
600033,19.705414012738853,7.828834527588089,92.0
600034,11.668003207698478,8.514790306799927,88.0
600035,15.092848676412483,7.836369760545124,86.0
600036,13.411348063746248,9.471858124407284,95.0
600039,12.26190476190476,7.832014180505469,95.0
600040,11.91358024691358,7.3901814282264295,95.0
600043,8.122448979591837,7.803843303538772,95.0
600044,11.505588428665352,7.327123292259293,92.0
600045,13.683266038582325,7.709308333385869,92.0
600046,12.874630645842128,7.7702232041587855,94.0
600047,12.654754734658368,9.611998241741393,90.0
600048,16.38210808522647,8.866017398810255,90.0
600051,13.671875,7.6246189861593985,87.0
600052,19.42137690865256,8.224967478914584,90.0
600060,9.113422486379395,7.610357618312838,95.0
600061,13.810375670840788,7.9355873855892,91.0
600062,12.18274111675127,8.579040594742317,88.0
600063,12.866817155756207,7.4798641311650265,92.0
600064,13.727392419097775,9.577133949436078,91.0
600065,9.45520036019811,8.804325112562537,89.0
600067,9.326788218793828,7.262628600974241,92.0
600068,7.639620653319283,7.5485559791698735,92.0
600069,16.339375629405843,8.287025025165063,90.0
600153,5.057519640852974,9.56493314971059,95.0
600158,13.66490299823633,9.559235128595953,94.0
600160,22.0536756126021,7.446585099157725,87.0
601332,17.024700598802394,10.193167627650581,85.0
601409,18.008255933952526,7.569411792450712,87.0
601410,10.52954406051932,8.495152060539358,96.0
601414,12.92166952544311,9.546241016698438,91.0
601415,18.01566579634465,7.893945138235959,87.0
601418,11.194731890874882,7.661997558901893,87.0
601421,7.888280807699566,8.575273402492762,96.0
601423,11.882556131260795,7.970740390007095,90.0
601620,7.949023108201924,9.91175329695316,91.0
601650,8.616095221176053,8.635687085464026,96.0
601770,9.594523433385993,9.158520623246385,93.0
601860,6.420765027322404,8.205218426395412,92.0
602430,15.47681631794764,9.853351483042331,90.0
602450,17.56894790602656,8.272826003650401,90.0
602630,12.06336311941511,10.373678664205936,86.0
602670,16.23578076525336,7.56734567601324,90.0
602700,25.365579302587175,7.48324441607385,90.0
602820,24.054838105933,9.969836933077662,82.0
602850,21.569687143457635,9.720345659358271,80.0
602970,4.5766832258746435,9.154933364704444,98.0
603030,24.969097651421507,7.388946097618437,91.0
603300,13.196049590250054,8.46779284112111,94.0
603600,10.365345709865524,9.036344063928219,90.0
603690,9.304845951385664,9.466376966592419,93.0
603840,21.27005053834322,8.423102268016642,69.0
604020,28.370126820103337,8.76201995356159,80.0
604110,10.821309655937847,8.189799618728228,94.0
604230,19.496604075109868,7.8252452914317745,87.0
604290,13.365843949044589,9.21512888870798,92.0
604440,11.824853632390534,9.403189650656792,90.0
604620,8.710590137429264,8.506738733512378,96.0
604740,9.79064039408867,9.184406989949679,86.0
604830,9.785932721712538,8.274866820685254,95.0
605610,9.434353918007265,9.173157580848466,93.0
605820,21.89349112426036,7.527793987721444,94.0
605880,6.76271186440678,8.68270762989381,97.0
605940,17.05539358600583,6.530877627725885,92.0
606450,9.41526263627354,9.624765221455819,92.0
606780,10.32761310452418,8.07246736935477,93.0
606870,21.411359724612737,7.974188669286011,90.0
606900,20.475418692598595,9.132919225007598,84.0
607230,11.868183417380086,9.050992878742049,89.0
607440,9.674782758324014,10.747035533763599,96.0
607500,8.182380489529027,9.334061298965942,95.0
607530,11.814671814671817,7.859413154693583,96.0
607560,10.376076121431808,7.699389406256737,92.0
607800,8.125537403267412,9.1381996941985,95.0
607900,18.334131163236,8.33758794211651,89.0
607920,22.15179844715576,8.75004942158424,88.0
607970,15.803043642309143,9.674200166461429,86.0
608010,12.278978388998036,8.311889558230359,90.0
608130,12.366863905325443,9.62970838525334,85.0
608160,12.9286162863722,10.081005925824062,89.0
608190,10.455206817709415,8.478660241699453,96.0
608370,13.446849140674727,9.438909179935457,89.0
608460,8.049975154397671,10.246154845820252,92.0
608550,20.637732506643047,7.029087564149662,87.0
608760,8.242980261328885,8.881002624255569,94.0
608970,14.065780265920225,7.264730177929867,87.0
609030,8.608731130150959,10.694623141424277,93.0
609070,18.823457767492844,9.706316282491837,81.0
609120,15.656447460800374,8.360071435644025,79.0
609390,14.221981884547793,10.007442080255977,86.0
609570,13.01460823373174,7.317212408359839,82.0
609620,17.32901623347822,10.023312945604477,82.0
609640,6.922626337930667,9.840494503208207,95.0
609690,14.582705634227178,8.107418811719974,87.0
609810,16.873706004140786,6.873163834212518,90.0
609850,8.511392027445277,10.889938474315908,94.0
609870,6.431072906717605,8.052296499538647,93.0
609940,11.180968564146134,8.680162019694377,77.0
610050,10.55616693473292,9.37695589894852,96.0
610260,8.359397213534262,8.858510813033927,93.0
610350,9.51348747591522,8.331345424845724,85.0
610620,8.61188486536676,9.061376218836225,93.0
610770,23.889655172413793,8.195609567288775,91.0
610860,15.789473684210526,8.369388996647842,95.0
611110,16.885222786238014,10.25301702831399,90.0
611280,13.319044703000612,8.09132127353041,81.0
611460,11.845040287704284,9.997296606214185,95.0
611520,8.935716190984262,8.229244416735913,90.0
611820,15.414266533847288,10.047111592619004,86.0
612070,12.3419626730885,8.801469470733185,94.0
612120,13.616298811544992,9.086476384753796,85.0
612180,11.324910165758665,9.062652099076578,93.0
612210,5.728267127230858,8.153061946801051,96.0
612330,11.139422550843353,11.066185134649654,92.0
612840,6.8439577630035195,7.846589975291186,95.0
612910,11.78130037614186,8.915163617762142,83.0
613360,13.93503480278422,9.978131095531895,80.0
613530,20.814061054579096,7.6787889981991535,84.0
613800,9.025084044478923,8.260234291607297,91.0
613840,5.353982300884956,7.723120092266331,92.0
613890,10.54854368932039,9.933046354777673,91.0
613920,10.89653047073628,10.569751598062284,90.0
614070,19.318181818181817,7.521859252201629,82.0
614190,24.72222222222222,6.984716320118266,75.0
614250,8.026113671274961,7.86480400332846,95.0
614400,6.116991643454039,10.48849257447637,94.0
614430,6.542898341744772,9.314339961994667,95.0
614550,19.99186275174612,11.20823286368504,86.0
614760,13.510592304366623,9.538060131459494,93.0
614820,17.069831127339114,7.692113339595466,96.0
614880,8.161846496106785,10.67248404537951,90.0
614950,23.986194995685935,7.748460023899697,82.0
615180,14.124844830643733,9.330609204367127,89.0
615240,7.033708717248702,10.180096038519288,90.0
615270,6.617746976491371,8.903679332926599,97.0
616230,16.518466243236883,9.96434744079289,82.0
616323,14.454594304137562,7.528869256642251,95.0
616325,9.128316188413644,9.823903073193286,93.0
616500,15.770042194092824,8.240648863374913,92.0
616740,16.328939602596893,9.919951278566794,79.0
616920,21.77037845705968,9.998070195022075,87.0
617220,8.211143695014663,7.77779262633883,95.0
617430,8.687381103360812,7.3632795869630385,92.0
618060,10.83219982688265,9.691160293655768,91.0
618210,4.441717791411043,8.312626025674962,95.0
618390,17.182168409466154,9.114379980830272,86.0
618930,17.265353418308226,8.36985260351753,87.0
618990,21.423635107118173,7.277247726631484,87.0
619260,13.378050068659556,9.848714526688836,91.0
619320,21.4792899408284,7.432483807917119,87.0
619490,9.011685482273718,8.526945482858915,89.0
619540,16.428152343052474,10.576457535657255,89.0
619650,17.555266579973992,7.7437032581737535,83.0
619700,8.664149403000305,9.190035618635818,78.0
619830,14.939550949913643,7.05444965813294,90.0
620070,34.42622950819672,8.13622555490846,58.0
620130,3.369980879541109,8.339023005744759,97.0
620370,10.683906090506976,7.985824666418917,96.0
620640,19.33998465080583,8.271036865792954,85.0
620670,20.17195767195767,7.321188556739478,95.0
621000,7.637844056996195,9.332469505209247,95.0
621060,18.08252427184466,6.714170529909472,87.0
621270,18.236472945891784,6.212606095751519,92.0
621400,16.292134831460675,7.579678823090456,92.0
621600,17.172455819622183,9.01249900352419,90.0
621690,14.879812805786004,9.148677711584076,92.0
621810,11.589698046181171,7.719573989259581,95.0
621870,8.590060715088823,8.399984990510696,90.0
622050,14.262472885032537,7.519692404116539,95.0
622110,6.997890448825199,9.52857589747142,95.0
622230,15.114659419058944,10.289939721462362,85.0
622410,16.407456998661036,9.180808569370145,88.0
622500,14.479734502658973,11.225629984448823,85.0
622590,4.05295315682281,9.192176401348512,98.0
622710,13.856775882409334,13.144377283510618,77.0
622740,16.803513461905673,9.256651274839433,96.0
622800,6.7761806981519515,8.134174272137903,97.0
623080,11.103748580083302,9.265207273417023,93.0
623160,18.348932731802577,9.605822482030945,83.0
623340,13.839547140347452,9.927789845059094,88.0
623610,12.807076381319696,10.079707197138614,93.0
623940,24.65753424657534,7.425953657077541,87.0
624030,10.307017543859647,8.319717386850606,90.0
624090,16.01906538182572,9.174816815907135,82.0
624230,12.365894974590628,8.17244681834278,94.0
624500,7.743062293809431,9.24048152888817,95.0
624660,19.176122818727947,9.257891673834406,91.0
624750,16.853932584269664,7.261225091971921,95.0
625150,22.147828969174675,9.621456151593161,87.0
625230,28.591549295774648,7.951559331155252,87.0
625320,13.205128205128206,8.605204068738951,89.0
625530,15.020491803278688,9.186047679407139,91.0
625690,7.378609965090448,8.74862232231722,93.0
625800,19.323453220073496,10.410244912126165,89.0
625830,15.236303785563132,9.04852707581358,86.0
625860,23.14173591874423,9.066931788680826,81.0
626310,11.46318732525629,8.36450810375059,93.0
626370,12.759329436701137,10.34618421724962,86.0
626490,19.568916619398752,7.47477218239787,95.0
626640,11.684080440399956,9.787066089518877,87.0
626880,50.176817288801566,7.841885928984623,89.0
626910,9.464880088759925,9.368796057668156,86.0
627060,17.05679862306368,8.667335849845957,88.0
627200,6.474358974358975,8.045588280803528,95.0
627240,11.103441928952696,9.986541107671414,90.0
627590,14.129059468578658,8.464214266625351,84.0
627690,10.176070203071385,9.785660765922685,91.0
627720,9.212089217368352,8.932872621931374,89.0
627850,3.6067736969430393,8.42222295382501,96.0
628050,19.564513517888944,10.520347464923955,73.0
628250,15.090532286212916,9.816621619514466,84.0
628270,14.864864864864863,7.80057265467065,87.0
628650,11.15459166880006,10.216215833592425,94.0
629130,31.482352941176472,7.661527081358517,85.0
629270,19.23236637598624,9.732521279780308,85.0
629370,8.117706747843734,7.58629630715272,95.0
629490,13.27892801370208,9.89600966268017,89.0
629550,20.7314434105172,10.047804323304367,92.0
629610,5.475645635828702,9.412137705270794,95.0
629640,17.190635451505017,8.003028666384733,87.0
629700,6.5238473067089835,9.336356092559043,98.0
629820,25.0361376120266,8.148734808937169,86.0
629850,8.81975625400898,9.654384962051822,86.0
629910,6.711804533411835,8.130647968160584,93.0
629940,12.023114570434576,9.738553945343401,85.0
630030,13.495320965358726,8.714567550836485,87.0
630210,20.08325624421832,9.288226910633254,90.0
630250,13.43226788432268,8.567125560164447,89.0
630330,3.788748564867968,7.868254265520613,98.0
630360,8.395396073121193,7.29776828253138,95.0
630600,16.515241572556675,9.373903755841548,88.0
630660,8.969650106321284,10.160645982437616,96.0
630750,14.267990074441686,8.301521654940728,95.0
631320,13.675450762829405,10.135987198774362,88.0
631530,6.87335237258348,10.502763517486002,95.0
631710,18.11347771612672,8.628197749459149,88.0
632010,25.348696179502728,7.407924322559599,89.0
632070,14.694364851957976,9.949416484424528,90.0
632270,9.552923194497517,7.869783902530146,87.0
632370,12.302839116719245,10.177742381673879,89.0
632550,18.516470222252945,10.272668963567046,79.0
632610,22.135806162129825,8.114623886420098,89.0
632880,6.476846057571965,8.069655306886165,97.0
633110,14.90048413125336,7.527793987721444,87.0
633150,11.920592705167172,10.648088014684989,91.0
633630,10.887015853903272,9.20693457884135,90.0
633750,8.833663221171468,9.52083524249312,87.0
633840,18.297151232023452,10.68437084740016,84.0
633860,8.941904935348752,10.220303579712972,92.0
633980,16.320929341928895,9.659311868393488,86.0
634140,14.78919631093544,8.01829613851552,90.0
634170,19.5596135303725,10.83602557938815,89.0
634320,13.57753497085366,11.56322876947947,87.0
634380,9.314290102127003,9.474472303967703,96.0
634410,14.772390052822129,10.830658875506495,85.0
634425,7.264206209724663,8.54110501146255,93.0
634440,16.387859360913552,9.208638925336425,88.0
634590,12.354206033752526,10.33182247473504,91.0
634620,17.09300866072549,10.592501201814466,88.0
634680,16.14177672423524,9.089189170412032,91.0
634710,14.650229357798164,9.25569607369698,89.0
634740,13.023434498655398,7.864419904994565,92.0
634800,10.637741766858335,8.942722330560143,94.0
634860,2.819672131147541,8.022896869601457,96.0
634880,9.692683169796284,9.90733016025358,94.0
634980,10.52454228911603,9.094143577573671,92.0
635110,18.948562783661117,7.880048200971577,78.0
635130,5.23220193603725,10.393416350589133,97.0
635250,9.826006556274692,9.384041546476526,93.0
635310,8.009849362688296,10.785766381818577,88.0
635430,11.26396693147323,9.647497926816836,89.0
635600,17.99136069114471,8.440312147080279,90.0
635670,14.76713366149186,8.977525200965243,91.0
635700,9.727088327494007,9.291551627401006,91.0
