LEAID,grad_rate,chron_absent,enrolled,absent_rate
626910,86.0,1109.0,11717.0,9.464880088759925
627060,88.0,991.0,5810.0,17.05679862306368
627200,95.0,202.0,3120.0,6.474358974358975
627240,90.0,2413.0,21732.0,11.103441928952696
627590,84.0,670.0,4742.0,14.129059468578658
627690,91.0,1809.0,17777.0,10.176070203071385
627720,89.0,698.0,7577.0,9.212089217368352
627850,96.0,164.0,4547.0,3.6067736969430393
628050,73.0,7251.0,37062.0,19.564513517888944
628250,84.0,2767.0,18336.0,15.090532286212916
628270,87.0,363.0,2442.0,14.864864864864863
628650,94.0,3050.0,27343.0,11.15459166880006
629130,85.0,669.0,2125.0,31.482352941176472
629270,85.0,3242.0,16857.0,19.23236637598624
629370,95.0,160.0,1971.0,8.117706747843734
629490,89.0,2636.0,19851.0,13.27892801370208
629550,92.0,4790.0,23105.0,20.7314434105172
629610,95.0,670.0,12236.0,5.475645635828702
629640,87.0,514.0,2990.0,17.190635451505017
629700,98.0,740.0,11343.0,6.5238473067089835
629820,86.0,866.0,3459.0,25.0361376120266
629850,86.0,1375.0,15590.0,8.81975625400898
629910,93.0,228.0,3397.0,6.711804533411835
629940,85.0,2039.0,16959.0,12.023114570434576
630030,87.0,822.0,6091.0,13.495320965358726
630210,90.0,2171.0,10810.0,20.08325624421832
630250,89.0,706.0,5256.0,13.43226788432268
630330,98.0,99.0,2613.0,3.788748564867968
630360,95.0,124.0,1477.0,8.395396073121193
630600,88.0,1945.0,11777.0,16.515241572556675
630660,96.0,2320.0,25865.0,8.969650106321284
630750,95.0,575.0,4030.0,14.267990074441686
631320,88.0,3451.0,25235.0,13.675450762829405
631530,95.0,2503.0,36416.0,6.87335237258348
631710,88.0,1012.0,5587.0,18.11347771612672
632010,89.0,418.0,1649.0,25.348696179502728
632070,90.0,3077.0,20940.0,14.694364851957976
632270,87.0,250.0,2617.0,9.552923194497517
632370,89.0,3237.0,26311.0,12.302839116719245
632550,79.0,5357.0,28931.0,18.516470222252945
