LEAID,chron_absent,enrolled,absent_rate
400897,47.0,769.0,6.11183355006502
400898,39.0,631.0,6.180665610142631
400899,116.0,1075.0,10.790697674418604
400900,43.0,452.0,9.513274336283185
400902,2.0,33.0,6.0606060606060606
400903,123.0,757.0,16.248348745046233
400904,247.0,1123.0,21.9946571682992
400905,58.0,753.0,7.702523240371846
400907,57.0,75.0,76.0
400909,17.0,454.0,3.7444933920704844
400910,28.0,137.0,20.437956204379564
400911,34.0,509.0,6.679764243614931
400912,38.0,181.0,20.994475138121548
400913,97.0,178.0,54.49438202247191
400914,33.0,77.0,42.857142857142854
400915,105.0,150.0,70.0
400916,48.0,344.0,13.953488372093023
400918,14.0,78.0,17.94871794871795
400919,23.0,369.0,6.233062330623306
400921,62.0,831.0,7.460890493381468
400922,65.0,401.0,16.209476309226932
400924,138.0,565.0,24.424778761061948
400925,47.0,687.0,6.841339155749636
400926,56.0,481.0,11.642411642411643
400927,122.0,1155.0,10.562770562770563
400929,103.0,450.0,22.88888888888889
400930,29.0,498.0,5.8232931726907635
400933,182.0,1824.0,9.978070175438598
400934,101.0,312.0,32.371794871794876
400936,23.0,468.0,4.914529914529915
